time,frequency,confidence
2.350,1961.051,0.015752
2.360,1952.614,0.005889
2.370,977.297,0.010587
2.380,1175.060,0.015567
2.390,1969.293,0.016655
2.400,1971.647,0.014196
2.410,1226.622,0.016811
2.420,1191.774,0.015053
2.430,1188.594,0.026364
2.440,1224.302,0.035147
2.450,1974.228,0.037041
2.460,1951.732,0.011018
2.470,1299.567,0.007325
2.480,1242.953,0.013578
2.490,50.015,0.035066
2.500,52.371,0.034534
2.510,54.179,0.030801
2.520,34.782,0.149876
2.530,34.866,0.015820
2.540,1175.581,0.008979
2.550,33.322,0.030242
2.560,32.260,0.018763
2.570,49.395,0.014634
2.580,32.164,0.017723
2.590,32.312,0.041852
2.600,32.556,0.053954
2.610,34.212,0.039443
2.620,33.448,0.171666
2.630,33.024,0.052027
2.640,35.187,0.011574
2.650,34.201,0.038421
2.660,39.246,0.052481
2.670,33.896,0.057948
2.680,44.451,0.014615
2.690,54.989,0.047129
2.700,33.584,0.019574
2.710,48.707,0.013624
2.720,32.443,0.004144
2.730,32.998,0.162843
2.740,32.907,0.154834
2.750,32.859,0.123577
2.760,32.379,0.080523
2.770,32.168,0.051984
2.780,36.398,0.063733
2.790,32.412,0.011134
2.800,32.245,0.017166
2.810,32.300,0.018266
2.820,32.230,0.065811
2.830,32.556,0.105150
2.840,34.047,0.161069
2.850,34.158,0.299364
2.860,33.565,0.342191
2.870,33.255,0.044133
2.880,33.697,0.005854
2.890,39.279,0.052928
2.900,40.297,0.105614
2.910,33.390,0.093106
2.920,33.186,0.044202
2.930,40.731,0.093967
2.940,54.462,0.083956
2.950,37.862,0.076052
2.960,39.198,0.024536
2.970,39.332,0.137995
2.980,38.653,0.023474
2.990,32.918,0.086369
3.000,32.893,0.249531
3.010,32.663,0.020686
3.020,1175.692,0.010178
3.030,1181.848,0.003816
3.040,52.492,0.034334
3.050,51.842,0.033964
3.060,51.110,0.012123
3.070,49.289,0.002576
3.080,35.315,0.035704
3.090,40.022,0.018342
3.100,39.614,0.047810
3.110,32.760,0.070755
3.120,33.177,0.047352
3.130,33.063,0.198734
3.140,32.540,0.145447
3.150,32.153,0.323866
3.160,32.346,0.053968
3.170,37.642,0.043745
3.180,46.559,0.075303
3.190,33.081,0.091252
3.200,32.831,0.237372
3.210,34.005,0.129938
3.220,35.718,0.039075
3.230,42.597,0.240686
3.240,42.814,0.084898
3.250,33.035,0.061870
3.260,41.833,0.200118
3.270,41.164,0.182298
3.280,40.802,0.218067
3.290,34.442,0.451369
3.300,34.617,0.140443
3.310,33.012,0.050563
3.320,33.063,0.079552
3.330,33.418,0.025837
3.340,33.409,0.108731
3.350,33.239,0.186301
3.360,33.592,0.503098
3.370,33.412,0.142987
3.380,33.433,0.031364
3.390,33.291,0.015884
3.400,32.349,0.009487
3.410,32.413,0.007980
3.420,32.278,0.029771
3.430,32.269,0.012435
3.440,120.242,0.008797
3.450,180.098,0.015750
3.460,41.596,0.262312
3.470,41.357,0.026415
3.480,32.429,0.043444
3.490,32.115,0.030127
3.500,32.189,0.026679
3.510,32.066,0.062046
3.520,32.188,0.011565
3.530,54.262,0.005511
3.540,32.345,0.009096
3.550,32.592,0.057693
3.560,39.456,0.134611
3.570,39.488,0.152727
3.580,54.771,0.032217
3.590,54.297,0.035010
3.600,44.408,0.100161
3.610,43.659,0.364945
3.620,46.613,0.462048
3.630,46.285,0.095429
3.640,34.104,0.307144
3.650,33.338,0.595137
3.660,33.248,0.217797
3.670,32.305,0.221940
3.680,32.543,0.174739
3.690,39.179,0.073286
3.700,39.456,0.197948
3.710,41.184,0.257160
3.720,40.426,0.451388
3.730,35.312,0.059600
3.740,35.552,0.214855
3.750,35.320,0.159534
3.760,33.296,0.166321
3.770,33.657,0.098347
3.780,39.952,0.166453
3.790,40.637,0.285343
3.800,41.218,0.076421
3.810,50.241,0.149220
3.820,34.285,0.343471
3.830,34.610,0.339447
3.840,55.187,0.105764
3.850,54.931,0.241412
3.860,33.606,0.072988
3.870,84.494,0.106772
3.880,85.169,0.058199
3.890,35.378,0.015919
3.900,35.593,0.570755
3.910,35.337,0.316046
3.920,38.628,0.342597
3.930,38.923,0.595096
3.940,39.584,0.388975
3.950,51.523,0.043246
3.960,35.451,0.025849
3.970,35.606,0.225482
3.980,38.628,0.084171
3.990,38.990,0.063703
4.000,39.496,0.015753
4.010,166.877,0.008610
4.020,32.981,0.011604
4.030,1221.763,0.003779
4.040,42.940,0.020244
4.050,33.752,0.041655
4.060,35.935,0.179790
4.070,34.046,0.232953
4.080,35.425,0.116385
4.090,34.715,0.119673
4.100,34.292,0.009320
4.110,48.765,0.033645
4.120,32.185,0.031958
4.130,32.148,0.031236
4.140,44.538,0.040386
4.150,52.411,0.085746
4.160,52.520,0.065168
4.170,33.040,0.074274
4.180,33.658,0.118642
4.190,34.298,0.132790
4.200,33.728,0.261225
4.210,33.259,0.472051
4.220,32.427,0.263942
4.230,32.259,0.067067
4.240,32.275,0.025291
4.250,40.355,0.185407
4.260,40.483,0.277661
4.270,39.545,0.335803
4.280,38.860,0.076513
4.290,43.275,0.022970
4.300,43.154,0.073190
4.310,36.929,0.098264
4.320,43.733,0.057120
4.330,44.576,0.036903
4.340,44.509,0.087461
4.350,33.133,0.025017
4.360,33.084,0.198772
4.370,32.779,0.350434
4.380,42.215,0.084205
4.390,42.898,0.111423
4.400,33.597,0.035058
4.410,33.379,0.401605
4.420,33.537,0.485785
4.430,33.033,0.262208
4.440,32.397,0.148238
4.450,35.283,0.060943
4.460,35.584,0.200891
4.470,36.336,0.229992
4.480,35.461,0.184496
4.490,34.349,0.245618
4.500,33.860,0.340604
4.510,33.490,0.205744
4.520,46.540,0.062214
4.530,35.629,0.229374
4.540,35.672,0.118343
4.550,40.537,0.025162
4.560,54.536,0.044172
4.570,32.264,0.010492
4.580,398.747,0.018158
4.590,587.974,0.074413
4.600,592.467,0.097579
4.610,597.252,0.063447
4.620,597.744,0.101915
4.630,353.546,0.065175
4.640,50.413,0.158631
4.650,32.375,0.087088
4.660,36.114,0.399432
4.670,35.775,0.219938
4.680,37.478,0.032233
4.690,39.777,0.017196
4.700,37.985,0.034536
4.710,37.600,0.052019
4.720,51.887,0.044983
4.730,32.428,0.038090
4.740,33.071,0.035013
4.750,33.617,0.035818
4.760,34.267,0.022957
4.770,35.387,0.009922
4.780,32.352,0.006479
4.790,33.197,0.020153
4.800,32.578,0.092187
4.810,32.420,0.523601
4.820,32.793,0.382903
4.830,34.816,0.407908
4.840,34.992,0.487416
4.850,35.250,0.063851
4.860,36.131,0.007107
4.870,32.344,0.014152
4.880,32.894,0.058351
4.890,33.065,0.455066
4.900,32.800,0.529454
4.910,33.005,0.235389
4.920,33.406,0.037709
4.930,33.927,0.096124
4.940,33.934,0.203759
4.950,33.242,0.160530
4.960,33.057,0.177971
4.970,81.236,0.028102
4.980,55.766,0.011947
4.990,32.255,0.009643
5.000,32.419,0.066036
5.010,51.012,0.028001
5.020,50.783,0.026745
5.030,32.330,0.046327
5.040,34.493,0.130225
5.050,34.538,0.420859
5.060,39.542,0.337818
5.070,39.453,0.163972
5.080,39.651,0.021320
5.090,54.401,0.004851
5.100,134.797,0.010608
5.110,48.074,0.025341
5.120,55.506,0.057597
5.130,36.749,0.154192
5.140,37.183,0.509598
5.150,36.817,0.686260
5.160,36.821,0.233472
5.170,43.196,0.028748
5.180,38.052,0.033488
5.190,32.110,0.158641
5.200,32.177,0.133662
5.210,32.336,0.314662
5.220,32.425,0.345285
5.230,32.709,0.488033
5.240,32.972,0.126366
5.250,32.808,0.015593
5.260,39.618,0.100731
5.270,37.991,0.064166
5.280,36.227,0.039222
5.290,55.707,0.026430
5.300,32.789,0.094655
5.310,32.787,0.059679
5.320,32.812,0.093335
5.330,32.739,0.020098
5.340,33.094,0.048569
5.350,41.119,0.069189
5.360,41.550,0.545157
5.370,41.242,0.578679
5.380,41.309,0.156809
5.390,36.142,0.020955
5.400,33.476,0.011667
5.410,85.576,0.022727
5.420,39.072,0.054759
5.430,271.111,0.038197
5.440,33.700,0.052132
5.450,49.533,0.143545
5.460,252.779,0.170798
5.470,32.240,0.154023
5.480,32.824,0.049178
5.490,32.622,0.137606
5.500,32.431,0.316760
5.510,33.092,0.300094
5.520,33.428,0.631730
5.530,33.003,0.557307
5.540,33.070,0.023894
5.550,56.195,0.017020
5.560,55.392,0.018121
5.570,33.483,0.044077
5.580,33.931,0.275359
5.590,34.006,0.074403
5.600,44.479,0.039665
5.610,45.081,0.135374
5.620,46.250,0.116210
5.630,46.129,0.058223
5.640,48.517,0.007191
5.650,119.989,0.012559
5.660,120.145,0.028059
5.670,52.002,0.038689
5.680,51.356,0.094497
5.690,52.328,0.151491
5.700,163.160,0.063095
5.710,33.170,0.069529
5.720,36.090,0.030037
5.730,55.828,0.004377
5.740,54.795,0.002454
5.750,32.646,0.013772
5.760,33.484,0.156307
5.770,34.284,0.100899
5.780,48.541,0.027758
5.790,48.716,0.010094
5.800,32.163,0.035048
5.810,32.145,0.011099
5.820,32.267,0.007287
5.830,33.084,0.082304
5.840,35.882,0.126643
5.850,40.611,0.042009
5.860,35.509,0.029457
5.870,35.176,0.358003
5.880,35.225,0.080752
5.890,35.635,0.107304
5.900,35.484,0.043529
5.910,35.055,0.011750
5.920,456.005,0.002764
5.930,1401.633,0.013933
5.940,1430.195,0.034609
5.950,253.740,0.139073
5.960,81.682,0.013744
5.970,305.540,0.010656
5.980,33.049,0.052162
5.990,33.004,0.153687
6.000,362.457,0.024436
6.010,32.349,0.010168
6.020,32.466,0.064006
6.030,32.500,0.267033
6.040,32.454,0.137032
6.050,32.780,0.054633
6.060,33.900,0.037447
6.070,38.830,0.217818
6.080,33.608,0.028602
6.090,44.873,0.326405
6.100,32.789,0.259936
6.110,32.308,0.274110
6.120,32.232,0.229822
6.130,32.305,0.480712
6.140,32.463,0.089777
6.150,35.345,0.022428
6.160,36.169,0.020892
6.170,35.431,0.013660
6.180,49.370,0.015955
6.190,35.003,0.036011
6.200,39.893,0.164551
6.210,40.291,0.118609
6.220,39.996,0.042997
6.230,81.612,0.022259
6.240,43.802,0.031301
6.250,43.559,0.023620
6.260,32.940,0.099381
